Año,Trimestre,Provincia,Tecnología,value
2016,2,Neuquén,ADSL,51742.0
2016,2,Río Negro,ADSL,67031.0
2016,2,Salta,ADSL,79438.0
2016,2,San Juan,ADSL,48670.0
2016,2,San Luis,ADSL,11432.0
2016,2,Santa Cruz,ADSL,15453.0
2016,2,Santa Fe,ADSL,336244.0
2016,2,Santiago Del Estero,ADSL,32101.0
2016,2,Tierra Del Fuego,ADSL,22636.0
2016,2,Tucumán,ADSL,145486.0
2016,1,Buenos Aires,ADSL,1583560.0
2016,1,Capital Federal,ADSL,454425.0
2016,1,Catamarca,ADSL,26096.0
2016,1,Chaco,ADSL,56353.0
2016,1,Chubut,ADSL,43967.0
2016,1,Córdoba,ADSL,350884.0
2016,1,Corrientes,ADSL,55454.0
2016,1,Entre Ríos,ADSL,113101.0
2016,1,Formosa,ADSL,21852.0
2016,1,Jujuy,ADSL,33481.0
2016,1,La Pampa,ADSL,12754.0
2016,1,La Rioja,ADSL,16645.0
2016,1,Mendoza,ADSL,153299.0
2016,1,Misiones,ADSL,59538.0
2016,1,Neuquén,ADSL,51702.0
2016,1,Río Negro,ADSL,66894.0
2016,1,Salta,ADSL,78973.0
2016,1,San Juan,ADSL,48670.0
2016,1,San Luis,ADSL,11432.0
2016,1,Santa Cruz,ADSL,15654.0
2016,1,Santa Fe,ADSL,338052.0
2016,1,Santiago Del Estero,ADSL,32838.0
2016,1,Tierra Del Fuego,ADSL,22636.0
2016,1,Tucumán,ADSL,144233.0
2015,4,Buenos Aires,ADSL,1586343.0
2015,4,Capital Federal,ADSL,455427.0
2015,4,Catamarca,ADSL,26180.0
2015,4,Chaco,ADSL,56818.0
2015,4,Chubut,ADSL,43968.0
2015,4,Córdoba,ADSL,353530.0
2015,4,Corrientes,ADSL,55681.0
2015,4,Entre Ríos,ADSL,113983.0
2015,4,Formosa,ADSL,21734.0
2015,4,Jujuy,ADSL,32934.0
2015,4,La Pampa,ADSL,12755.0
2015,4,La Rioja,ADSL,16886.0
2015,4,Mendoza,ADSL,153293.0
2015,4,Misiones,ADSL,60252.0
2015,4,Neuquén,ADSL,51680.0
2015,4,Río Negro,ADSL,66851.0
2015,4,Salta,ADSL,78744.0
